# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
144213000,7,-3287,741,85816,-163160,412916
144232000,126,-3482,1233,-20748,-87648,8702
144251000,138,-3214,564,-109114,-36198,-246702
144270000,-142,-663,-208,-48412,18473,-255022
144289000,-286,286,-1172,-37633,30030,-165786
144308000,190,757,-579,-10122,26427,37511
144327000,843,221,-334,19083,16748,145480
144346000,732,-726,-59,24992,-8076,137129
144365000,340,-1583,118,6396,-13297,83496
144384000,479,-2026,400,-15343,-7572,-21862
144403000,518,-1592,105,-45633,2152,-93480
144422000,431,-1306,-278,-61679,6580,-88763
144441000,331,-1003,-321,-70473,19572,-65206
144460000,297,-765,-361,-72931,30870,-32763
144479000,350,-703,-296,-70503,45145,-12030
144498000,523,-750,-184,-69633,52625,-10854
144517000,494,-708,-221,-64274,59770,-25557
144536000,364,-651,-231,-62396,70534,-24656
144555000,500,-664,-144,-60580,82198,-13862
144574000,663,-725,-95,-60412,84061,-21938
144593000,707,-693,-103,-52778,82992,-43389
144612000,666,-613,-149,-43022,80732,-70290
144631000,600,-509,-197,-35114,81862,-68442
144650000,542,-513,-146,-32259,85129,-32412
144669000,705,-518,-67,-30992,88030,-1114
144688000,864,-481,-69,-25877,83816,5435
144707000,891,-486,-108,-16305,74503,-10274
144726000,830,-440,-148,-4610,66595,-30610
144745000,746,-298,-166,9374,63664,-29068
144764000,833,-77,-159,26885,61083,-26870
144783000,748,386,-221,64748,56992,-44702
144802000,382,975,-354,119221,59969,-19847
144821000,102,1081,-313,160687,67496,97618
144840000,222,777,-18,191221,50167,321297
144859000,532,-520,297,204931,-3419,500259
144878000,680,-2644,467,159007,-70503,500259
144897000,388,-4000,1198,94580,-90687,187679
144916000,670,-3612,1200,29038,-53832,-160854
144935000,437,-2226,435,-37267,-16076,-205419
144954000,207,-1112,-104,-22824,-3877,-146229
144973000,178,-608,-312,-47770,4305,-24320
144992000,700,-447,-26,-33786,-106,54473
145011000,1060,-706,130,-30137,-14931,47160
145030000,947,-830,206,-30045,-33847,-8229
145049000,736,-918,156,-31160,-48076,-39786
145068000,690,-1205,243,-41450,-59648,-51465
145087000,577,-1202,234,-45022,-63450,-40015
145106000,544,-1358,206,-63908,-67221,-9969
145125000,448,-1327,163,-72122,-63893,-16290
145144000,396,-1157,61,-76473,-56580,-44305
145163000,319,-1029,0,-85725,-47786,-40137
145182000,346,-842,-102,-90458,-40992,3984
145201000,340,-823,-111,-98931,-36427,60137
145220000,458,-688,-215,-96809,-33862,99343
145239000,557,-705,-249,-92885,-36763,65633
145258000,640,-948,-239,-88671,-43129,-24183
145277000,588,-774,-181,-73206,-35389,-137282
145296000,458,-644,-246,-63022,-28885,-206427
145315000,305,-286,-251,-42870,-18977,-191801
145334002,271,-150,-264,-33984,-10458,-90473
145353000,317,-113,-254,-15312,-3038,33129
145372000,542,-27,-168,9450,-12503,182824
145391000,502,-67,-133,35648,-29160,316030
145410000,346,-102,-248,69725,-34763,386137
145429000,352,-598,-207,78656,-42839,202854
145448000,222,-1007,-154,109435,-13862,-69190
145467000,300,-1356,-54,99770,25450,-299145
145486000,566,-1276,-126,104244,58412,-461542
145505000,367,-439,-208,111022,74702,-465221
145524000,255,552,-252,114183,64412,-143740
145543000,243,-298,-190,82122,47038,262931
145562000,299,-939,100,92076,7557,500259
145581000,640,-1611,164,104992,-44351,500259
145600000,633,-2830,62,31572,-78748,385404
145619000,657,-2178,832,34076,-57145,-50809
145638000,172,-2146,85,-47083,-13419,-352274
145657000,51,-841,-102,-6335,18580,-346412
145676000,-317,-958,-567,-27557,27145,-129206
145695000,73,-377,-175,-25068,23709,122351
145714000,816,-496,-53,-7297,-1511,164091
145733000,580,-1110,88,-5526,-21984,7358
145752001,407,-980,243,6793,-21160,-129083
145771000,351,-626,47,7343,-15374,-137938
145790000,255,-1011,-31,-9358,-16122,-28229
145809000,305,-1356,18,-20977,-10198,78610
145828000,489,-1582,29,-40854,-11526,80015
145847000,662,-1491,63,-51557,-14564,12442
145866000,658,-1462,0,-71618,-20015,-48549
145885000,542,-1351,-38,-85389,-21435,-79938
145904000,443,-1144,-113,-91435,-19129,-92381
145923000,394,-1003,-98,-95786,-17725,-85236
145942000,416,-887,-63,-97312,-16900,-73740
145961000,412,-812,-100,-92717,-13221,-83068
145980000,408,-762,-76,-89557,-12106,-85938
145999000,396,-719,-92,-83129,-9083,-81877
146018000,397,-716,-130,-80442,-10641,-67801
146037000,434,-661,-151,-72717,-10244,-50580
146056000,450,-623,-209,-64610,-9175,-43923
146075000,501,-661,-244,-59679,-8427,-41022
146094000,551,-665,-282,-53557,-6610,-40412
146113000,563,-685,-298,-49908,-4259,-38030
146132000,545,-591,-355,-44610,-381,-39435
146151000,480,-450,-363,-35679,4198,-34625
146170001,548,-383,-357,-25969,7801,-34015
146189000,580,-287,-363,-10366,8809,-36152
146208000,462,93,-382,17664,17312,-40580
146227002,365,322,-494,51114,25221,-32992
146246000,321,577,-364,88427,32473,28824
146265000,236,572,-294,121755,34625,137435
146284000,284,441,-161,160534,19022,307435
146303000,303,-244,-21,175389,-31251,500259
146322000,256,-1863,293,145618,-94061,500259
146341000,-195,-3145,161,95801,-101694,358778
146360000,-140,-2365,737,89969,-45221,-69923
146379000,55,-2608,127,-8045,18900,-323251
146398000,333,-1503,-43,14290,31557,-359755
146417000,145,-545,-539,20625,24702,-241740
146436000,-7,-434,-612,-8671,14290,13709
146455000,552,-673,-300,-2732,-1389,170610
146474000,859,-1219,-169,-2900,-24137,109770
146493000,677,-1563,-36,-16442,-38259,2671
146512000,585,-1782,72,-43847,-43557,-73251
146531000,477,-1703,-3,-73480,-43083,-91786
146550000,419,-1464,-208,-93221,-41358,-66076
146569000,453,-1346,-243,-108793,-40580,-43435
146588000,560,-1315,-176,-117984,-41786,-47541
146607000,590,-1185,-157,-120320,-41816,-84458
146626000,585,-1198,-142,-129526,-43816,-127847
146645000,551,-1088,-174,-132824,-43877,-152625
146664000,519,-970,-235,-139099,-44778,-148702
146683000,523,-812,-312,-141908,-44809,-138061
146702000,558,-697,-412,-144213,-46488,-126778
146721000,576,-574,-448,-141358,-47145,-127068
146740000,670,-490,-516,-132381,-46549,-155435
146759000,751,-355,-611,-118931,-46534,-205694
146778000,775,-279,-589,-97954,-52580,-263542
146797000,597,20,-714,-78641,-50290,-300931
146816000,375,513,-799,-46534,-42015,-289160
146835000,304,932,-867,-2732,-34549,-242916
146854000,324,797,-899,34900,-25221,-166351
146873000,399,462,-824,63374,-12396,-119251
146892000,477,344,-723,93312,3648,-101038
146911000,475,446,-722,124488,20580,-74916
146930000,389,463,-642,153160,32137,-24793
146949000,325,339,-538,180229,40106,23328
146968000,404,217,-328,205877,41145,57908
146987000,464,41,-120,234839,39664,89160
147006000,391,-14,27,272000,39755,129236
147025000,232,240,261,315862,24549,293160
147044000,238,-372,764,335877,-16549,450977
147063000,276,-1310,920,324122,-42824,449664
147082000,-180,-2391,1131,258702,-46885,310045
147101000,-46,-3249,1699,127511,-30610,135541
147120000,597,-4000,763,-34595,-12916,-127908
147139000,302,-1593,437,-113068,12885,-204335
147158000,-18,826,-695,-84290,45786,-197908
147177000,354,1109,-1724,12106,52824,-78091
147196000,1010,-793,-290,81740,33740,74870
147215000,1066,-1110,47,103282,3297,139129
147234000,216,-1456,65,44885,-2442,166977
147253000,565,-1827,611,-26259,-16213,41435
147272000,542,-1638,136,-63557,-10152,-103786
147291000,621,-641,-563,-42656,2198,-103725
147310000,394,-674,-550,-38320,8595,-19969
147329000,767,-1070,-135,-36152,4335,30274
147348000,717,-1275,-120,-36824,-2625,17847
147367001,304,-968,-151,-49236,18061,-13007
147386000,348,-666,-42,-57801,19129,-36366
147405000,657,-1022,35,-67633,10778,-37954
147424000,685,-1224,-108,-83282,6015,-52335
147443000,572,-987,-28,-87389,2076,-55129
147462000,544,-661,-107,-87068,1389,-33603
147481000,590,-583,-227,-85633,-824,-11435
147500000,659,-617,-390,-83175,1404,-8946
147519000,735,-806,-452,-79572,-2549,-19083
147538000,768,-780,-439,-75938,-1954,-31297
147557000,761,-743,-573,-70977,-5404,-43801
147576000,809,-649,-655,-64610,-10061,-50625
147595000,801,-583,-822,-60412,-12809,-51572
147614000,842,-629,-851,-53312,-17664,-47969
147633000,851,-664,-864,-46992,-22244,-46167
