# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
319681000,-86,805,-868,25129,70106,-107190
319700000,-9,896,-864,30305,73603,-92137
319719000,-35,762,-882,28458,82320,-64778
319738000,-138,531,-891,26671,83679,-59893
319757000,-300,460,-967,27954,79694,-72931
319776000,-447,428,-1005,23908,86549,-77740
319795000,-634,421,-984,14106,95709,-84122
319814000,-702,362,-923,11221,111022,-116427
319833000,-798,362,-848,6595,121007,-162076
319852000,-636,371,-827,3862,136580,-200931
319871000,-386,370,-730,-7954,151954,-218931
319890000,3999,2106,2573,97755,-133114,-243755
319909001,600,2424,-962,71572,-158381,-177160
319928000,-875,1200,-1768,-37893,113145,157984
319947000,-62,27,-1031,-55938,106290,163358
319966000,129,59,-184,-31297,17603,47511
319985000,11,400,-1054,10061,7908,-9480
320004000,-45,618,-1178,-1022,24427,42503
320023000,80,264,-846,-3099,20259,68610
320042000,195,190,-687,-259,-1816,32656
320061000,125,433,-766,4671,-21282,10793
320080000,17,519,-802,778,-24961,21923
320099000,-17,527,-708,-5908,-29526,39328
320118000,4,492,-644,-10335,-39129,43465
320137000,-45,516,-682,-15022,-51770,41984
320156000,-43,511,-732,-22641,-59755,45877
320175000,-71,583,-771,-27251,-64641,49923
320194000,-133,592,-867,-32320,-66167,55465
320213000,-158,569,-909,-36015,-63328,60870
320232000,-116,567,-891,-39145,-64793,60824
320251000,-117,598,-893,-41343,-67068,63893
320270000,-123,632,-889,-42625,-68366,67877
320289000,-172,647,-918,-42763,-69389,69297
320308000,-155,647,-905,-42259,-69099,67190
320327000,-119,658,-910,-39832,-68396,64442
320346000,-85,709,-911,-39923,-64916,68916
320365000,-109,745,-940,-40305,-57938,79022
320384000,-87,706,-924,-42030,-49526,87022
320403000,-37,725,-903,-40030,-46183,83664
320422000,-44,764,-929,-36229,-42992,81251
320441000,-31,783,-904,-32625,-37175,83709
320460000,-8,760,-890,-30687,-30625,88213
320479000,44,744,-883,-28717,-26625,90427
320498000,64,704,-855,-26335,-26061,87877
320517000,99,663,-836,-24641,-25160,80977
320536000,89,667,-901,-23526,-21648,78122
320555000,125,643,-914,-25175,-20137,77679
320574002,134,600,-940,-27083,-19862,73465
320593000,140,591,-944,-27267,-21068,58213
320612000,107,656,-995,-24916,-15282,47007
320631000,117,727,-1014,-20305,-4015,46916
320650000,127,704,-1015,-14366,8305,50656
320669000,101,612,-1009,-8305,18671,49358
320688000,122,581,-958,-366,20641,32656
320707000,58,681,-992,10290,22687,17312
320726000,46,761,-1017,21099,28854,13526
320745000,37,794,-1001,32885,35160,11343
320764000,32,774,-941,44687,39221,3450
320783000,9,740,-905,55908,41160,-11496
