# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
457439001,313,666,-312,60229,17053,49175
457458000,279,691,-306,59160,15633,11816
457477000,233,753,-322,50076,15022,-5709
457496000,242,928,-304,48473,9145,18305
457515000,243,980,-352,46183,1267,53893
457534000,312,875,-352,44030,-5450,69038
457553000,353,682,-404,42335,-7938,49221
457572000,360,674,-474,40091,-6091,15923
457591000,356,780,-487,36778,-4381,10870
457610000,332,775,-551,33282,-2076,25435
457629000,347,699,-577,23541,-1022,41938
457648000,391,657,-566,18198,-1816,57435
457667000,429,593,-565,9160,-5908,64229
457686000,441,575,-626,1587,-7908,78244
457705000,486,509,-612,-14290,-14061,89099
457724000,449,420,-668,-29190,-12656,110015
457743000,469,353,-678,-47053,-11145,121816
457762000,495,151,-719,-71145,-6748,132061
457781000,447,-71,-819,-102061,2427,130122
457800000,468,-285,-837,-145786,9633,115893
457819000,486,-238,-747,-181129,25435,85129
457838000,500,-105,-534,-216900,51007,-20641
457857000,629,301,-129,-212167,71816,-257343
457876000,1516,705,674,-186671,15312,-500274
457895000,-515,1165,599,-127053,-72610,-500274
457914000,-1349,2730,915,-99374,-114717,-500274
457933000,-2057,3045,1388,6061,-24366,-4244
457952000,-790,2624,1447,15221,10809,431221
457971000,-93,1457,786,52244,-23419,369022
457990000,-150,-147,-1296,38366,55511,374793
458009000,566,-1269,-2248,-38167,37603,161587
458028000,1165,422,-854,-82687,84137,-108442
458047000,1547,838,-11,-89358,-1496,-281419
458066000,-100,901,477,-93816,-66335,-392992
458085000,-1580,1595,376,-51083,-17221,-159572
458104000,-544,2427,1428,20824,-14458,-2366
458123000,-172,2226,923,63022,-4763,222061
458142000,93,908,-78,77435,5557,195969
458161000,210,840,-504,89786,25786,71603
458180000,408,681,-166,94839,42824,-34122
458199000,374,389,-265,63251,34290,-66992
458218000,21,667,-294,43740,34076,-37343
458237000,46,1188,-140,40671,40137,26793
458256000,239,1368,132,50809,28870,85877
458275000,335,1133,96,61862,20946,84625
458294000,342,1002,-62,75419,18732,41694
458313000,239,1007,-170,83450,20732,4900
458332000,147,1084,-167,84854,25068,13893
458351000,203,1110,-147,84213,23709,38442
458370000,256,1044,-215,86946,23038,58519
458389000,288,931,-298,90274,23770,55618
458408000,272,850,-336,91465,25801,38687
458427000,260,864,-352,91648,29358,23664
458446000,291,901,-365,89221,27664,34763
458465000,330,866,-373,86152,23984,52152
458484000,345,774,-463,84992,20687,58900
458503000,360,682,-625,83618,19435,46473
458522000,424,630,-575,81160,15160,40763
458541000,456,607,-653,77312,14564,40229
458560000,448,524,-735,67664,11648,46076
458579001,455,466,-760,57801,10106,47099
458598000,486,425,-784,46396,9358,50564
458617000,499,354,-832,37679,7312,65954
458636000,559,313,-833,22290,1541,83251
458655000,556,207,-890,5221,1923,103832
458674000,592,52,-893,-17251,656,120488
458693000,604,-105,-981,-47404,-76,132519
458712000,594,-267,-965,-78000,4671,143603
458731000,602,-419,-1022,-123740,12732,133984
458750000,595,-438,-871,-163297,16595,101007
458769000,559,-438,-797,-203190,46519,16320
458788000,790,-336,-480,-215099,56793,-195007
458807000,1186,249,109,-203282,26396,-500274
458826000,185,1605,436,-168381,-40946,-500274
458845000,-896,2583,798,-155618,-112793,-243908
458864000,-411,3305,1681,-77587,-104625,76824
458883000,84,2699,1324,-137,-44076,313160
458902000,-105,682,-760,-7221,36916,262671
458921000,229,-579,-1482,-27267,717,175083
458940000,595,-103,-1011,-54213,78595,-149145
458959000,1517,67,-361,-106946,35694,-262748
458978000,374,995,193,-114106,-25221,-282381
458997000,-766,1487,267,-81267,-7679,-129236
459016000,0,2394,1460,-18061,-20839,9923
459035000,72,2081,1234,56351,-6213,84916
459054000,231,691,36,54717,-3603,51587
459073000,100,450,-921,49190,1603,-24824
459092000,262,774,-209,45297,30854,-62351
459111000,185,858,-191,33083,34000,-32076
459130000,172,1001,159,31572,18824,4992
459149000,180,1213,71,38870,28854,37221
459168000,242,1232,11,49083,29175,56427
459187000,294,1050,-21,56748,35709,51190
459206000,286,938,-94,58106,38015,36152
459225000,291,920,-117,57038,37328,28335
459244001,222,987,-149,53190,42519,23389
459263000,251,935,-187,48152,45969,25374
459282000,270,921,-215,44198,51572,23633
459301000,324,841,-226,41526,56488,15618
459320000,325,835,-235,36152,57862,6061
459339000,310,867,-252,30793,58534,19236
459358000,342,891,-278,22900,57786,30320
459377000,433,850,-276,23221,51465,31786
459396000,436,785,-229,16259,44809,31786
459415000,394,767,-395,9725,47557,21022
459434000,494,743,-292,-198,39725,29419
459453000,412,685,-387,-8900,43007,37709
459472000,419,559,-396,-22839,45435,42213
459491000,615,627,-321,-34656,46564,45404
459510000,649,652,-267,-42732,37954,64534
459529000,548,552,-350,-54839,39664,83603
459548000,495,332,-406,-68961,51251,90534
459567000,520,391,-334,-86045,62396,64610
459586000,476,472,-341,-90763,81435,32458
459605000,519,356,-241,-103022,93175,12473
459624000,527,345,-227,-119358,100900,18198
459643000,634,228,-166,-140854,101435,30396
459662000,642,94,-195,-158870,115267,-26030
459681000,717,347,13,-154427,112549,-177893
459700000,1042,1049,346,-128900,97236,-403312
459719001,968,1654,814,-91129,7679,-500274
459738000,-567,1678,261,-118335,-27541,-251160
459757000,51,2598,1410,-97923,-17694,32259
459776000,332,2437,1425,-14656,-549,215801
459795000,746,1434,293,-2198,30488,214335
459814000,407,693,-271,4045,41328,149832
459833000,471,653,-120,26000,48381,-35236
459852000,748,702,-31,30305,43496,-130076
459871000,1171,379,131,-167,12259,-185679
459890000,279,431,15,-14442,-28748,-137450
459909000,-39,1133,301,-6137,-42961,-24946
459928000,404,1937,761,25404,-50564,65526
459947000,655,1764,907,47877,-55312,129984
459966000,499,1300,380,59770,-45572,117450
459985000,470,1178,205,74427,-50656,57984
460004000,549,1032,218,77709,-45160,32931
460023003,650,867,202,71969,-54961,30183
460042000,579,810,157,70030,-61389,39725
460061000,592,838,119,67328,-64885,59099
460080000,497,997,107,68229,-70305,90900
460099000,463,922,48,63832,-66076,126122
460118000,554,740,21,55664,-65725,137389
460137000,556,745,-55,48167,-65755,128137
460156000,579,766,-98,40213,-63801,125297
460175000,603,731,-152,30198,-59251,135603
460194000,647,609,-187,17480,-56061,135007
460213000,721,584,-188,6458,-57725,128977
460232000,730,711,-147,91,-56656,124320
460251000,761,835,-61,-3053,-55526,125282
460270000,795,841,-42,-1648,-52335,121572
460289000,813,658,-42,-2809,-51007,106885
460308000,808,623,-98,-3969,-51053,91206
460327000,770,574,-105,-9694,-47007,79511
460346000,814,497,-139,-17770,-42015,69358
460365000,817,592,-89,-20580,-42732,59374
460384000,723,555,-62,-20839,-38839,52106
460403000,678,499,-94,-24244,-29404,49786
460422000,710,450,-93,-28229,-23129,44961
460441001,690,410,-127,-35877,-19053,46687
460460000,681,359,-195,-43618,-12595,48427
460479000,610,290,-229,-56305,-5587,51160
460498000,608,124,-239,-74763,3923,44335
460517000,651,29,-256,-97496,11755,37694
460536000,715,-12,-244,-119877,21709,15389
460555000,685,75,-183,-142000,35068,-21511
460574000,834,421,64,-149496,55267,-57954
460593000,1188,787,479,-133923,57312,-119786
460612000,1562,917,645,-105145,40244,-190122
460631000,1061,1100,468,-90687,-7450,-144167
460650000,-733,227,-149,-86732,55206,-66015
460669000,229,31,832,-126106,26580,29923
460688000,1114,1880,1165,-51038,-7236,155877
460707000,1270,727,303,-22122,9923,127328
460726000,1415,-136,137,10610,-24473,-64946
460745000,1158,521,-98,2671,-19755,-147099
460764000,921,709,-62,-16091,-10412,-97389
460783000,870,647,-5,-21938,-5572,-85053
460802000,301,562,-122,-27587,17022,-51786
460821000,-26,93,191,-56854,37221,16610
460840000,716,961,740,-40290,14213,80687
460859001,1047,937,548,-8961,-580,97129
460878000,1234,569,402,22732,-12229,21740
460897000,1020,695,342,54595,-18641,-51419
460916000,728,972,289,71770,-11038,-37221
460935000,641,842,251,78885,-4503,22366
460954000,703,585,236,77312,-839,49923
460973000,845,531,236,80152,-3984,36305
460992000,868,560,199,82229,-5099,13038
461011000,797,603,144,84061,-4152,-503
461030000,827,550,128,81190,-2885,3099
461049000,871,556,65,78916,-3938,3740
461068000,834,590,19,76458,-4931,7664
461087000,884,518,41,71801,-6000,7358
461106000,848,495,40,68198,-5480,-4244
461125000,843,483,94,62946,-8091,-13099
461144000,748,564,86,60427,-8473,-19832
461163000,658,550,-29,54732,1969,-21038
461182000,704,549,-78,49358,9893,-11053
