Timestamp,Data
2025-01-17T15:24:04.935988,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,1080:4,X:X,X:X,X:X,X:X,X:X,995:4,791:4,810:4,730:4,X:X,X:X,X:X,
2025-01-17T15:24:06.015538,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,
2025-01-17T15:24:06.915809,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,717:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,780:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,804:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,882:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,952:10,X:X,X:X,
2025-01-17T15:24:07.935909,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,924:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,974:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,978:10,X:X,X:X,X:X,X:X,X:X,X:X,845:10,988:10,X:X,X:X,X:X,X:X,X:X,X:X,617:10,672:10,X:X,X:X,X:X,X:X,X:X,X:X,588:10,626:10,X:X,X:X,X:X,X:X,X:X,X:X,
2025-01-17T15:24:09.015767,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,683:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,652:5,X:X,X:X,X:X,X:X,X:X,X:X,X:X,676:5,X:X,X:X,X:X,X:X,X:X,X:X,X:X,609:5,639:5,X:X,X:X,X:X,X:X,X:X,X:X,
2025-01-17T15:24:09.918211,476:10,466:10,481:10,492:10,451:10,428:10,390:10,370:10,452:10,476:10,457:10,534:10,492:10,410:10,429:10,359:10,459:10,470:10,479:10,496:10,505:10,484:10,404:10,387:10,477:10,483:10,497:10,571:10,544:10,537:10,499:10,395:10,495:5,526:10,584:10,554:10,524:10,489:10,528:10,367:10,512:5,624:10,577:10,505:10,514:10,442:10,431:10,354:10,507:5,479:10,519:10,484:10,515:10,523:10,390:10,451:10,539:5,451:5,464:10,X:X,490:10,503:10,483:10,455:10,
2025-01-17T15:24:10.876680,530:5,366:4,429:4,X:X,X:X,X:X,X:X,310:4,512:5,423:5,419:4,345:4,X:X,X:X,X:X,60:4,430:5,425:5,404:5,411:5,365:5,360:4,X:X,63:4,424:5,383:5,387:5,347:4,337:4,335:4,323:5,313:5,381:5,371:5,332:4,327:4,315:4,310:5,169:4,70:4,452:5,338:4,329:4,322:5,311:4,314:5,292:5,280:5,550:5,390:5,329:5,319:5,314:4,300:4,282:9,80:4,488:5,426:5,373:5,483:5,340:5,397:5,305:5,52:4,
2025-01-17T15:24:11.954038,474:5,X:X,484:5,X:X,X:X,X:X,368:4,X:X,475:5,424:4,477:4,X:X,484:10,X:X,X:X,X:X,455:5,431:5,384:5,382:5,405:4,469:4,X:X,65:5,545:5,386:5,420:5,343:5,387:5,456:5,457:5,65:5,504:5,475:5,427:5,434:5,356:5,439:5,134:5,62:5,570:5,489:5,493:5,467:5,468:5,437:5,444:5,63:5,455:4,X:X,454:4,X:X,X:X,428:4,X:X,55:5,538:5,X:X,X:X,X:X,X:X,X:X,X:X,51:5,
2025-01-17T15:24:12.915489,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,337:10,X:X,X:X,X:X,X:X,X:X,X:X,415:4,X:X,X:X,X:X,X:X,67:5,X:X,X:X,X:X,X:X,X:X,X:X,68:4,69:5,X:X,X:X,X:X,X:X,X:X,X:X,X:X,64:5,X:X,565:5,X:X,427:5,361:4,313:4,59:4,61:5,201:4,484:10,416:9,440:10,391:10,397:5,378:10,55:5,451:5,126:10,365:9,131:10,382:10,163:10,367:10,148:5,
2025-01-17T15:24:13.876564,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,66:5,X:X,X:X,X:X,X:X,672:10,687:10,X:X,68:5,X:X,X:X,X:X,X:X,660:10,655:10,X:X,62:5,X:X,X:X,X:X,747:4,625:4,656:4,658:4,58:5,X:X,X:X,X:X,X:X,665:4,644:4,604:4,57:5,X:X,X:X,728:4,658:4,634:4,567:4,560:5,527:4,
