Data,Label
"793:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 813:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 852:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 858:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 863:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 906:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 767:5, 621:5, 675:5, 704:5, X:X, X:X, X:X, 406:5, 441:5, 489:5, 514:5, 519:5, 497:5, X:X, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 870:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 888:10, 673:9, 605:5, 677:5, 700:5, X:X, X:X, X:X, 410:5, 432:5, 495:5, 531:5, 492:5, 492:5, 518:10, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 787:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 824:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 830:10, X:X, X:X, X:X, X:X, X:X, X:X, 888:10, 924:10, X:X, X:X, 707:5, 683:5, 695:5, 696:5, X:X, X:X, X:X, 505:5, 492:5, 508:5, 545:5, 516:5, 494:5, X:X, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 779:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 799:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 815:10, X:X, X:X, 719:10, 713:10, 687:10, X:X, 887:5, X:X, X:X, 732:5, 523:5, 568:5, 597:5, 659:10, X:X, X:X, 394:5, 383:5, 447:5, 506:5, 508:5, 479:5, 443:10, 434:10,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 858:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 881:10, X:X, X:X, X:X, 733:5, 775:5, 565:10, 537:10, X:X, 876:4, X:X, 685:5, 644:5, 603:5, 498:5, 497:5,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 859:5, X:X, X:X, X:X, 755:5, 886:5, 575:5, X:X, 876:10, 922:5, X:X, 680:5, 671:5, 655:5, 515:5, 497:5,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 820:10, 824:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 831:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 856:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 874:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 950:10, 827:10, 694:5, 691:5, 678:5, X:X, X:X, X:X, 445:10, 495:5, 510:5, 528:5, 533:5, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 738:10, 651:10, 570:4, 668:5, 708:5, X:X, X:X, 854:10, 375:10, 400:10, 484:5, 525:5, 568:5, 584:5, 891:4, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 777:5, 666:5, 567:5, 691:5, 688:5, X:X, X:X, X:X, 404:5, 419:5, 479:5, 523:5, 539:5, 519:5, 469:4, 924:10,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 938:5, 1007:4, 707:5, 542:5, 667:5, 688:10, X:X, X:X, 398:5, 397:5, 437:5, 488:5, 521:5, 535:5, 525:5, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 978:5, 836:5, 661:9, 677:5, X:X, X:X, X:X, X:X, 389:5, 426:5, 498:5, 525:5, 554:5, X:X, X:X, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 807:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 846:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 893:10, X:X, X:X, X:X, X:X, X:X, X:X, 970:10, X:X, X:X, X:X, 676:5, 626:5, 627:10, 567:10, 504:10, X:X, X:X, 437:5, 466:5, 492:5, 505:5, 472:10, 404:10, 382:10,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 766:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 811:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 844:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 938:5, X:X, X:X, X:X, X:X, X:X, X:X, 979:4, X:X, X:X, X:X, X:X, X:X, 682:5, 659:5, 642:5, X:X, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 741:4, 830:10, 648:10, X:X, X:X, X:X, 687:5, 649:5, 597:5, 484:10, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 908:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 912:10, 948:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 1016:10, 1001:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 790:5, 708:5, 726:5, 768:4, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 632:4, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 881:5, 598:4, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 715:4, 650:4, 682:10, X:X, X:X, X:X, X:X, 367:10, 391:10, 487:10, 521:4, 612:5, X:X, X:X, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 954:4, 877:4, 953:4, X:X, X:X, X:X, X:X, X:X,",
